book_id,isbn,isbn13,language_code,ratings_count,text_reviews_count
10219,312049994,9780312049997,en-US,249,39
10220,312252811,9780312252816,eng,845,57
10221,312263082,9780312263089,eng,889,62
10222,031215125X,9780312151256,en-US,37064,1028
10224,312265816,9780312265816,eng,99,11
10232,520243269,9780520243262,eng,3994,212
10233,520229134,9780520229136,eng,2534,80
10235,812973011,9780812973013,eng,63813,4347
10238,1570625190,9781570625190,eng,14183,398
10255,977795306,9780977795306,eng,1023,164
10261,2884490477,9782884490474,en-US,13,2
10263,080283972X,9780802839725,eng,238,29
10269,520213688,9780520213685,eng,37,1
10270,195309685,9780195309683,eng,104,8
10285,62508113,9780062508119,eng,8741,306
10289,800637143,9780800637149,eng,44,4
10303,140005477X,9781400054770,eng,481,45
10308,743262727,9780743262729,en-US,1341,88
10310,031242602X,9780312426026,eng,6550,337
10311,713996870,9780713996876,eng,29,7
10324,1584795425,9781584795421,eng,48,12
10329,60885734,9780060885731,eng,22,4
10332,61131628,9780061131622,eng,9944,846
10340,1846162661,9781846162664,eng,15,3
10346,316525650,9780316525657,eng,224,37
10347,976882302,9780976882305,eng,37,9
10370,30547741,9780030547744,eng,121,5
10372,440415802,9780440415800,eng,11150,794
10382,307383415,9780307383419,en-US,1225,181
10403,426203658,9780426203650,eng,589,40
10404,426203682,9780426203681,eng,399,25
10405,426203674,9780426203674,eng,410,34
10412,141694740X,9781416947400,eng,52688,2463
10414,439698391,9780439698399,eng,547,185
10416,1558322450,9781558322455,en-US,5695,87
10417,1575420775,9781575420776,eng,309,45
10420,1561583766,9781561583768,eng,1327,149
10421,1862073295,9781862073296,eng,199,19
10427,1843534096,9781843534099,eng,7,1
10429,300111142,9780300111149,en-GB,311,39
10431,385732333,9780385732338,eng,1054,145
10433,312971397,9780312971397,eng,1452,63
10441,143037145,9780143037149,eng,535636,17550
10445,449200167,9780449200162,eng,361,35
10456,440424941,9780440424949,eng,167,9
10460,440412242,9780440412243,en-GB,148,17
10461,1573225053,9781573225052,eng,9646,273
10464,1556434308,9781556434303,en-US,2948,144
10471,140250328,9780140250329,eng,212,18
10474,1598870548,9781598870541,en-US,43,15
10476,452280680,9780452280687,eng,363,50
10490,015173156X,9780151731565,eng,661,34
10495,8497592581,9788497592581,spa,158,11
10500,764543407,9780764543401,eng,13,7
10503,156030438,9780156030434,eng,8263,624
10505,847826465,9780847826469,eng,47625,186
10507,156029065,9780156029063,eng,16116,698
